,Dystopia Residual,Family,Freedom,GDP,Generosity,Happiness Rank,Happiness Score,Health,Trust,name
0,2.0472962363586418,0.40975266527557375,0.117923904097557,0.35711344353485097,0.2677301865158082,149.4,3.512799982070922,0.2547073557691574,0.0580935660119057,Afghanistan
1,1.648508312149048,0.7549310495796204,0.37189772696304324,0.9386325506629944,0.1678865888586044,106.4,4.712600010681152,0.7876959493293763,0.043200843199968336,Albania
2,2.521546765304566,1.07420549308014,0.17843716158390038,1.012962893333436,0.06921932939958572,66.2,5.667600043487548,0.6650569291496277,0.14609922206878662,Algeria
3,1.7973656007003775,0.9383679899120325,0.027432500000000005,0.7983795450544358,0.10526912250220774,140.0,3.872250019073488,0.13390216640889646,0.07157008382618428,Angola
4,2.618171065444946,1.330960229034424,0.4816198407802582,1.1110350925216683,0.092371412138939,31.2,6.4593999954223635,0.7608954167060852,0.06430797754287719,Argentina
5,1.6279738313903802,0.890872744155884,0.2160286534719468,0.8391333475723265,0.08239361836528777,122.8,4.39319998550415,0.6978508851966858,0.03876688430082798,Armenia
6,2.222034163848876,1.4090063904266361,0.6050434764595031,1.3948849870224,0.4160778499965668,10.0,7.276199983978271,0.9145293585319522,0.3145727460727692,Australia
7,2.4124272825012203,1.36396299269104,0.576929237915039,1.398341452667236,0.29240046434974676,12.0,7.142000008392334,0.8836796838417055,0.21426007308769224,Austria
8,1.8987423378906236,1.03175005104065,0.38054516765022284,1.073644353126526,0.04913186805534362,84.6,5.22920004119873,0.6196531551818849,0.1757555014209748,Azerbaijan
9,1.821633877471924,1.24346409224701,0.5190833838310243,1.390482452201844,0.2031516973667144,42.4,6.113799978637696,0.7252506069412232,0.21075243391418463,Bahrain
10,2.034889232437134,0.6383363481140136,0.47826733188247683,0.5239965950584413,0.17895907042789463,113.8,4.580199960327148,0.5933542067108153,0.1324475718774796,Bangladesh
11,1.8909905969085699,1.338153043235778,0.30153805237579345,1.085019511993408,0.120003501821518,68.2,5.597999953460694,0.6987668533554078,0.1635567643346786,Belarus
12,2.320320071533204,1.3574925396728517,0.5387621444778443,1.3753981521530159,0.20888066752433776,17.6,6.92139995880127,0.8828703738708497,0.23784462621307378,Belgium
13,2.8071152078755706,0.9563225996653234,0.5509397907447813,0.8637117720158893,0.21995188028494536,50.333333333333336,5.955999950408937,0.4599605886745453,0.09776369053840638,Belize
14,2.23160619304657,0.3404699687099456,0.4193865551891326,0.3767450815467834,0.186069692234993,137.8,3.90100001296997,0.2752620422611236,0.07136780305576325,Benin
15,1.4610568804931638,1.201687302886962,0.49846753612518324,0.8235072777023316,0.43469890903282166,90.4,5.124800031280518,0.5397078584976196,0.1654860779619216,Bhutan
16,2.605593805587768,1.0951638103866579,0.5518965853691102,0.7672613132095336,0.18518014494705198,58.2,5.813199990844726,0.539306049900055,0.06878754523229598,Bolivia
17,2.0449805149993896,0.9844331875,0.17679263538074502,0.9216938835258484,0.2709674990119934,88.8,5.161800032043457,0.7613312614860535,0.0016539999999999999,Bosnia and Herzegovina
18,0.65642674269104,1.107410998916626,0.4906072665863038,1.0535808308715822,0.07904168964338301,140.2,3.830000006484986,0.3384071018753052,0.10460263981676102,Botswana
19,2.921921416442872,1.323311200904846,0.4430387493591308,1.033226642089844,0.134969978928566,23.0,6.6578000457763675,0.6809444705810546,0.1203925522317886,Brazil
20,1.0929638575897216,1.2987878916854858,0.2954583435173034,1.0865358176651,0.1010635388760566,113.0,4.6186000450134275,0.7359535360908509,0.007784306189954282,Bulgaria
21,1.8968685811767578,0.9357400010910041,0.32399957020378123,0.31465954271698,0.2127729369163514,133.4,4.07380001296997,0.2668128517332078,0.12299562119722363,Burkina Faso
22,1.939616833602906,0.4708167168693541,0.10132015064001083,0.062446513733387,0.1859210369195938,153.8,3.078999994277954,0.21160815833663937,0.10699158900928499,Burundi
23,1.225324218688964,0.876219668266296,0.6378711646995544,0.5482370192375183,0.3361805936775208,128.6,4.205400044250488,0.5119726807746888,0.06969919019031524,Cambodia
24,2.4280311164398194,0.8520216437988282,0.43716774972915645,0.5191550730171204,0.20785569135761262,109.8,4.695800034332276,0.20137842338085182,0.05008532628321649,Cameroon
25,2.3681748884887694,1.3874117982788081,0.6109541824188232,1.388128883255004,0.38959794448852536,6.8,7.350599996948242,0.90055753049469,0.3058463032455444,Canada
26,2.4333261882781976,0.0,0.3224080113863945,0.032125,0.24305662187337876,153.25,3.1342500195503225,0.05019067147508262,0.0531137690281868,Central African Republic
27,2.2931136081848136,0.8038511744308471,0.17768440536594401,0.3820165974750518,0.19312877009487162,138.6,4.003400021743774,0.09489494301605225,0.058758376453638086,Chad
28,2.6106971714782725,1.202872990768432,0.396821055738449,1.1733269219589242,0.27204848424530026,24.4,6.5893999900817875,0.8449759407806395,0.08849759642124175,Chile
29,1.7696417185821542,1.033679482376098,0.5095755416088104,1.003417158111572,0.04944936820018292,85.0,5.218999952697754,0.7971211001281737,0.056210854922652244,China
30,2.6982296249542244,1.30261058733368,0.49209948301506046,0.9929104649887082,0.1374568945922852,36.0,6.339999974822997,0.6716775847167968,0.04497174837040903,Colombia
31,2.052146666666667,0.7176533333333334,0.17509666666666668,0.26271666666666665,0.21070333333333333,140.0,3.9616666666666673,0.38931999999999994,0.15379,Comoros
32,1.9630591274566662,0.7165868726043702,0.42301317416000356,0.7227428504943848,0.11230042553424839,121.4,4.377399977874757,0.34671748678779596,0.0928016267209053,Congo (Brazzaville)
