,name,Happiness Score,Freedom,Trust,GDP,Adult Mortality,Infant Deaths,Under 5Y/O Deaths,Hepatitis B,HIV/AIDS,Population,Life Expectancy,region,subregion,Literacy Rate(%),gini,area,Inflation(%),Change forest %,Forest area %,FemaleSuicide %,MaleSuicide %,Homicide %,Prison population,Gender Inequality,Suicide %,Density,Adult Mortality per Population
35,Djibouti,4.369,0.46074,0.28105,0.44025,274.6875,1.4375,1.875,78.0,3.28125,813389.0,60.75625,Africa,Eastern Africa,67.9,40.0,23200.0,2.5,0.0,0.241587575,9.5,20.9,10.1,83.0,0.3860580497946242,30.4,35.05987068965517,0.3377074192053249
36,Dominican Republic,5.199400003814698,0.545379966747284,0.1174010506386756,0.9999227673034661,143.5,6.4375,7.8125,65.125,1.41875,9390224.875,72.34374999999999,Americas,Caribbean,90.1,47.2,48671.0,5.0,-4.900613248537411e-09,40.811258278000004,2.1,6.1,22.1,240.0,0.4773406583852093,8.2,192.9326472642847,0.015281849147409262
37,Ecuador,5.991999979400633,0.47952763971138,0.1416809294977188,0.9277800796661382,132.125,7.375,8.75,78.0625,0.19374999999999998,14424856.625,74.72500000000001,Americas,South America,91.6,49.3,276841.0,2.6,-23.603363445349913,38.129328394,5.3,13.2,12.4,149.0,0.4072687638663134,18.5,52.10520343807456,0.009159536447039037
38,Egypt,4.37520002670288,0.23929203092575083,0.09111027309560779,0.9246903614997863,170.625,56.25,67.625,96.6875,0.10000000000000002,79615764.75,71.5,Africa,Northern Africa,73.9,30.8,1002450.0,9.0,61.81818264086776,0.071525441,1.2,2.4,3.4,80.0,0.5726109319181881,3.5999999999999996,79.42118285201256,0.00214310570947571
39,El Salvador,6.124199956512452,0.41992850593376163,0.09397419197845457,0.8296048991661072,155.0625,2.5625,2.875,86.0625,0.28750000000000003,6115026.375,71.74375,Americas,Central America,84.5,48.3,21041.0,0.9,-26.206896529550534,13.426640927000001,5.7,23.5,41.2,422.0,0.4268991305713337,29.2,290.62432275081983,0.02535761752949103
40,Estonia,5.637800012207032,0.47822428607749934,0.1710557844457626,1.2378518680343622,169.6875,0.0,0.0,86.83333333333333,0.10000000000000002,1346321.8125,74.94375,Europe,Northern Europe,82.42480620155038,36.0,45227.0,3.4,5.071770337616366,51.804670913,3.8,24.9,5.0,238.0,0.16377023067616214,28.7,29.768098978486304,0.12603784505645452
41,Ethiopia,4.4232000076293945,0.401274548488617,0.1467271427736282,0.29335876909446723,285.5625,187.75,288.5,64.11111111111111,2.7249999999999996,82463673.625,59.11250000000001,Africa,Eastern Africa,39.0,29.8,1104300.0,8.4,-20.95695012039404,12.0144,6.7,16.5,12.0,136.0,0.5582853147797511,23.2,74.67506440731685,0.003462888414340879
42,Finland,7.537799972534181,0.6215361713371277,0.39847430858802796,1.356960385032654,68.875,0.0,0.0,78.68566980093698,0.10000000000000002,5312810.3125,80.7125,Europe,Northern Europe,100.0,26.9,338424.0,1.3,1.4575260496116682,72.911250782,7.5,22.2,1.6,58.0,0.07472006409392695,29.7,15.698680686062454,0.012963948635235601
43,France,6.515199982452392,0.4883904231033326,0.18320848565864561,1.3441166923828118,73.125,2.9375,3.4375,51.25,0.10000000000000002,63988317.5625,82.21875,Europe,Western Europe,99.0,32.7,640679.0,0.7,10.40893277905537,29.311802703,6.0,19.3,1.0,98.0,0.08838640965976086,25.3,99.87578422657836,0.0011427867271018
44,Gabon,4.407800030517578,0.3126897154083252,0.07741935744047164,1.1019920478820802,220.4375,2.0,3.0,57.63636363636363,8.0,1533511.5,62.243750000000006,Africa,Middle Africa,82.3,41.5,267668.0,7.0,-2.3424595596566174e-09,85.380525478,4.5,12.1,9.1,196.0,0.5136893374647612,16.6,5.729155147421433,0.1437468841935649
45,Gambia,4.516,0.382,0.16699999999999998,0.308,249.625,3.0,5.6875,95.375,2.34375,1678315.9375,59.462500000000006,Africa,Western Africa,52.0,39.808800000000005,11295.0,4.900840336134454,9.411764701437878,47.786561265,2.6,7.6,10.2,56.0,0.6224041107104772,10.2,148.58928176184153,0.14873540459363002
46,Georgia,4.338799954986572,0.3521580071220398,0.2665553270549774,0.8538865328445434,114.9375,1.1875,1.25,77.25,0.10000000000000002,3855581.5625,73.50625,Asia,Western Asia,99.7,41.3,69700.0,3.3,-1.5048578513585098,39.389552454000004,1.0,5.7,4.3,225.0,0.38159677103871337,6.7,55.316808644189386,0.02981067788006365
47,Germany,6.92900004272461,0.5585882768974304,0.2651343876247406,1.395342676742554,71.25,2.5,3.25,77.4375,0.10000000000000002,81813591.5625,81.175,Europe,Western Europe,99.0,28.3,357114.0,1.6,3.2934473690835016,31.77827509,4.1,14.5,0.8,79.0,0.040728954602423206,18.6,229.0965673776441,0.000870882192545842
48,Ghana,4.536399977111816,0.42723525870323176,0.03409727397441864,0.6093749648857116,180.0625,40.3125,59.8125,67.5,2.2875,23377643.25,60.8625,Africa,Western Africa,71.5,42.8,238533.0,11.0,-36.77228786698606,20.696141338,2.2,4.2,6.1,54.0,0.5537340192983267,6.4,98.00590798757405,0.007702337574169287
49,Greece,5.152400047302247,0.08578825018835068,0.035305955378294,1.2054814962234501,73.625,0.1875,0.4375,88.9375,0.10000000000000002,10977746.125,81.21875,Europe,Southern Europe,97.3,34.3,131990.0,-0.8,20.139436193791216,30.747866563000002,1.3,6.3,1.7,111.0,0.1463849240972116,7.6,83.17104420789454,0.006706750107140048
50,Guatemala,6.34379999923706,0.5502861235847474,0.08159065571641923,0.8066143891944886,131.1875,13.125,16.125,87.0909090909091,0.375,13597829.625,71.73125,Americas,Central America,71.0,55.9,108889.0,3.8,-25.345408585411143,33.077640910999996,4.3,13.7,39.9,105.0,0.533192437921318,18.0,124.87789974193903,0.009647679344268884
51,Guinea,3.853599993896484,0.35227350259399415,0.1063055235438346,0.2733739860191346,259.875,30.8125,48.375,58.666666666666664,2.19375,9706356.3125,56.0125,Africa,Western Africa,41.0,39.4,245857.0,15.2,-10.90308370856946,26.338922351,2.4,7.1,8.9,25.0,0.4916492473689407,9.5,39.479682549205435,0.02677369258177024
52,Haiti,3.8655999851226803,0.08926797146523,0.1260764299054146,0.3228620525741578,168.3125,17.0,24.8125,40.666666666666664,2.7375,9574986.125,59.868750000000006,Americas,Caribbean,48.7,59.2,27750.0,6.3,-14.310344824022415,3.606676343,2.4,3.3,10.2,96.0,0.6026425654859288,5.699999999999999,345.044545045045,0.017578354454273425
53,Honduras,5.240800046539306,0.3966219720420838,0.07253109050941468,0.6564366235466004,142.0,4.625,5.6875,95.0625,0.81875,7874021.6875,72.99374999999999,Americas,Central America,85.1,57.0,112492.0,5.2,-39.13470993455075,44.25775315,2.8,8.3,90.4,153.0,0.47958016725451996,11.100000000000001,69.99628140223305,0.018033986396738637
54,Hungary,5.329399976348876,0.23053670386219022,0.03018738748192788,1.20407438685608,147.0625,0.5625,0.875,78.68566980093698,0.10000000000000002,10035224.75,73.82499999999999,Europe,Eastern Europe,99.1,31.2,93028.0,4.900840336134454,12.852506005688744,22.615707500000003,7.4,32.4,1.3,186.0,0.20886590451665976,39.8,107.87316453110891,0.014654629434183823
55,Iceland,7.511000037384034,0.6180345270652771,0.1401453118944168,1.3865226040802,49.375,0.0,0.0,78.68566980093698,0.10000000000000002,307688.875,82.44375000000001,Europe,Northern Europe,99.0,39.808800000000005,103000.0,3.9,264.36781738994586,0.316209476,6.7,21.0,0.3,47.0,0.08693451907918481,27.7,2.987270631067961,0.16047054024946467
56,India,4.297800011444092,0.4615394009990693,0.08847337705183031,0.7307142496299744,146.5625,1366.6875,1812.5,35.0,0.2562499999999999,1188606031.125,65.41874999999999,Asia,Southern Asia,62.8,33.4,3287590.0,9.6,7.483695381816967,23.114567182,16.4,25.8,3.5,30.0,0.5628670604374083,42.2,361.5432675987578,0.0001233062058933695
57,Indonesia,5.2520000167846685,0.4661606926403046,0.01290742709809542,0.9209697184677124,166.5625,151.1875,186.625,73.5625,0.20000000000000007,234355498.5,67.55625,Asia,South-Eastern Asia,92.8,34.0,1904569.0,7.7,-21.496478133785057,51.370910315,4.9,3.7,0.6,59.0,0.4940138279197284,8.600000000000001,123.04909850995159,0.0007107258036021715
58,Iraq,4.528400043487548,0.21642310653877264,0.1130911509375572,1.043188097091674,136.75,31.1875,38.0,64.875,0.10000000000000002,28733445.875,70.35625,Asia,Western Asia,78.5,30.9,438317.0,2.0,3.3325297257976505,1.89952109,2.1,1.2,8.0,110.0,0.5388450616542321,3.3,65.55403024523348,0.004759262101556067
59,Ireland,6.964400047302246,0.5721920684051514,0.29979163066291803,1.4604153278579723,72.4375,0.0,0.0,86.83333333333333,0.10000000000000002,4328174.875,80.15,Europe,Northern Europe,99.0,34.3,70273.0,0.6,62.709677413314104,10.982726085,5.2,16.9,1.2,88.0,0.11293153694573145,22.099999999999998,61.59086526831073,0.016736269234038283
60,Israel,7.142199964141847,0.41749972076606756,0.12087442001199722,1.303722484680176,59.5,0.9375,1.0,97.4375,0.10000000000000002,7294387.5,81.3,Asia,Western Asia,97.0,39.2,20770.0,3.9,16.3636363612518,7.097966727999999,2.3,9.8,1.8,223.0,0.10093555154296052,12.100000000000001,351.1982426576794,0.008156956290024352
61,Italy,6.022400045013428,0.2438161425361634,0.02811961828315258,1.3118313237838741,54.1875,2.0,2.3125,95.5,0.10000000000000002,58649866.6875,82.1875,Europe,Southern Europe,99.0,36.0,301336.0,1.2,22.583016646257505,31.634595771,1.9,7.6,0.9,106.0,0.06762716582086603,9.5,194.63279092939442,0.000923915143553923
62,Jamaica,5.661999974060058,0.49593944781112675,0.03603955620384216,0.8558578618927001,141.25,1.0,1.0,83.15384615384616,1.2375,2775027.3125,74.29375,Americas,Caribbean,87.0,45.5,10991.0,4.900840336134454,-2.420197337911578,31.048938135,0.7,1.8,39.3,152.0,0.4299606584688558,2.5,252.48178623419162,0.05090039992173951
63,Japan,5.9258000152587895,0.49347710919570914,0.1648421473169326,1.3377450356597902,57.125,2.875,4.0,78.68566980093698,0.10000000000000002,127628000.0,82.5375,Asia,Eastern Asia,99.0,38.1,377930.0,0.2,0.19776617564657428,68.566491113,10.1,26.9,0.3,51.0,0.13258973106578453,37.0,337.70274918635727,0.0004475898705613188
64,Jordan,5.179599993133545,0.407252229850769,0.13194065443754202,0.9097444788856505,114.3125,4.0,4.0,97.0,0.10000000000000002,6741024.25,72.9875,Asia,Western Asia,92.6,35.4,89342.0,6.4,-0.6082451075875017,1.09822032,1.9,2.2,2.0,95.0,0.4733821553206363,4.1,75.45190671800496,0.016957734575721188
65,Kazakhstan,5.838399953460694,0.4446288566474914,0.1064285772771836,1.1905052539291379,232.0625,7.125,8.0625,97.3125,0.10000000000000002,15860427.625,66.7625,Asia,Central Asia,99.7,29.0,2724900.0,5.8,-3.629456483820504,1.221543134,9.3,40.6,7.8,295.0,0.2672276538239542,49.900000000000006,5.820554011156372,0.014631541184565004
66,Kenya,4.449399994659424,0.4431347532100678,0.059578263843059545,0.49057189242935173,348.5625,65.875,98.625,74.57142857142857,8.7625,39512693.25,57.481249999999996,Africa,Eastern Africa,87.4,47.7,580367.0,5.8,-7.092772378831269,6.0529922339999995,8.4,24.4,6.4,121.0,0.5522023374087783,32.8,68.08225355680113,0.008821532305950822
67,Kuwait,6.148600003814698,0.5059975185203551,0.18218791006183618,1.555662490341186,83.25,0.5,1.0,98.1875,0.10000000000000002,2739635.5,73.84375000000001,Asia,Western Asia,93.3,39.808800000000005,17818.0,5.6,86.57142844050611,0.3664422,0.8,1.0,0.4,137.0,0.3873143831826569,1.8,153.7566225165563,0.030387254070842636
68,Kyrgyzstan,5.173400037384034,0.4679666777400969,0.03747583580064774,0.5423880152168274,173.6875,3.75,4.125,85.5625,0.11250000000000004,5338456.25,69.08125,Asia,Central Asia,99.2,36.2,199951.0,6.8,18.133971302470123,5.14911366,4.5,14.2,9.1,181.0,0.3528074924816522,18.7,26.698822461503067,0.03253515470881681
69,Latvia,5.676199980926514,0.3058755824890136,0.07121254532957079,1.185349724960328,161.8125,0.0,0.0,88.9375,0.10000000000000002,2169873.8125,73.73125,Europe,Northern Europe,82.42480620155038,36.6,64559.0,0.2,6.440058888398959,54.306851078,4.3,30.7,4.7,304.0,0.16664731211557082,35.0,33.61070977710312,0.0745723087987173
70,Lebanon,5.149599980926514,0.32179119700241077,0.05538876595354081,1.0350615061416621,65.3125,1.0,1.0,70.5,0.10000000000000002,4948819.4375,74.2,Asia,Western Asia,89.6,39.808800000000005,10452.0,5.0,4.625954161275447,13.397849462,0.6,1.2,2.2,118.0,0.38479071192366665,1.7999999999999998,473.4806197378492,0.013197592036817972
71,Lesotho,4.07900002193451,0.372582824807167,0.112283660004139,0.4643678117275237,550.0625,4.5,6.3125,73.23076923076923,22.968749999999996,2013639.4375,48.78124999999999,Africa,Southern Africa,89.6,52.5,30355.0,5.0,10.999999979507002,1.462450593,3.4,9.2,38.0,121.0,0.5406389102455846,12.6,66.33633462362049,0.2731683188937344
72,Liberia,3.8391999984741227,0.332934236486435,0.042557649814367306,0.08926035860967639,246.9375,10.6875,14.75,49.125,2.28125,3595973.6875,57.525,Africa,Western Africa,60.8,38.2,111369.0,5.2,-13.390139992171946,44.321013289,2.0,6.8,3.2,46.0,0.6511502966731089,8.8,32.28882083434349,0.06867055252889694
73,Libya,5.597000019073485,0.4402266460227966,0.12124604203605653,1.065826612869262,139.6875,2.1875,2.5,96.3125,0.10000000000000002,5959218.5625,72.48750000000001,Africa,Northern Africa,89.5,39.808800000000005,1759540.0,3.2,0.0,0.123327688,1.4,2.2,1.7,81.0,0.13402635669698493,3.6,3.386804825408914,0.023440573379708122
74,Lithuania,5.929799990081788,0.25558835698795324,0.01767512857061624,1.233202469573974,117.25,0.0,0.0,94.75,0.10000000000000002,3206170.1875,72.80624999999999,Europe,Northern Europe,82.42480620155038,37.6,65300.0,1.2,11.866749501289075,34.712959122,8.4,51.0,6.7,329.0,0.12468077040462865,59.4,49.09908403522205,0.03657011111173274
75,Luxembourg,6.935999983215332,0.5838315782127379,0.337420884803772,1.6376747195587158,67.5625,0.0,0.0,92.375,0.10000000000000002,491467.1875,80.78125,Europe,Western Europe,100.0,30.8,2586.0,4.900840336134454,2.963996994472992,33.494208494,4.4,13.0,0.8,122.0,0.099852288899549,17.4,190.04918310131478,0.13747102902978647
76,Madagascar,3.745400010681152,0.1773753530845642,0.06270639509916306,0.2659177386341094,228.8125,34.9375,51.125,63.357142857142854,0.525,19819911.375,62.74375,Africa,Eastern Africa,64.5,44.1,587041.0,8.8,-9.191148106134882,21.380383125,6.9,15.2,11.1,87.0,0.4073482129411909,22.1,33.76239713239791,0.011544577353086172
77,Malawi,3.883000005722046,0.4571509307556152,0.07742433080148696,0.14271440765953064,424.4375,37.125,58.75,89.57142857142857,16.68125,13697861.5,49.893750000000004,Africa,Eastern Africa,74.8,39.0,118484.0,18.4,-18.60882957188048,33.633856597,8.9,23.9,1.8,76.0,0.6111131545471626,32.8,115.60937763748692,0.030985676121780034
